username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Jack Posobiec,592730371,2021-04-22 20:15:45,BREAKING: Taking the knee for Black Lives Matter will be BANNED at Tokyo Olympics as IOC seeks to punish those who... https://t.co/2zwP9wksXd,2111,None,1258221,946,-0.16666666666666666,0.43333333333333335
Devin Heroux,26347394,2021-04-26 18:12:40,Canadian boxer @MandyBujold left out of Olympics because she was pregnant/postpartum during IOC qualifying timefram... https://t.co/yNhWdyD8am,17,None,29853,2276,0.0,0.0
FIFA Women's World Cup,284944250,2021-04-21 08:49:55,"The groups are locked in   

E: 
F: 
G: 

 Who is your favourite for @Olympics gold?... https://t.co/MNhxNNydQy",822,None,879724,1853,0.0,0.0
Tank Schottle,328474134,2021-04-26 18:25:07,Am getting interviews by @debbieantonelli again am looking forward to talking to her and for Special Olympics I can't wait ,27,None,100875,85811,0.35714285714285715,0.5714285714285714
Al Jazeera English,4970411,2021-04-26 12:45:05,Hijab-wearing Sarah Gamal will be the first Arab and African woman to referee 3-on-3 basketball games at the Olympi... https://t.co/uFXLNow1gD,85,None,6755172,225,0.125,0.16666666666666666
Jules Boykoff,724416918,2021-04-20 14:12:02,This image pretty much sums up the enthusiasm for the #Tokyo2020 Olympics in Japan right now. A haggard Japanese Pr... https://t.co/2ewRzgDoYc,445,Tokyo2020,6942,910,0.18392857142857144,0.43392857142857144
B/R Football,1561123663,2021-04-21 08:48:12,"The @USWNT's group at the Olympics is drawn--and begins with a rematch against Sweden, who eliminated them in 2016:... https://t.co/Z7gHv2w1zo",195,None,2774063,1014,0.0,0.0
FIFA.com,140070953,2021-04-20 20:00:08," #OlympicFootball 

             

                

Jo... https://t.co/5T4p3EJdt9",239,OlympicFootball,14263764,873,0.0,0.0
#Tokyo2020,2249745696,2021-04-21 08:36:03," The men's Olympic football groups! 

Check out how the draw went for the 16 teams that will take part in the... https://t.co/gCT9VmvCFL",75,None,241717,432,0.0,0.0
Vala Afshar,259725229,2021-04-20 16:03:25,"""What is investment?

Usain Bolt won 8 gold medals in 3 Olympics, and he only ran for less than 115 seconds on the... https://t.co/kuIbc80Ohm",126,None,554593,300,-0.08333333333333333,0.5333333333333333
The Wall Street Journal,3108351,2021-04-20 15:46:08,Japan is preparing to reintroduce a state of emergency in Tokyo and Osaka with just three months to go before the S... https://t.co/Cx38D7y1Vy,62,None,18846725,1033,0.0,0.0
ESPNcricinfo,16542390,2021-04-20 20:36:31,"Cricket's return to the Olympics is moving closer 

https://t.co/YeuKEtjQQI",40,None,6100716,202,0.0,0.0
Rwanda FA,2602327886,2021-04-21 07:23:03,"Rwandan International FIFA Referee, MUKANSANGA Salima Rhadia has been selected among referees who will officiate th... https://t.co/MOpZqRdjtN",36,None,83032,210,0.0,0.0
HKDC - Hong Kong Democracy Council,1170411750841176064,2021-04-21 01:32:35,China is committing genocide and erasing one of the freest cities in the world. @SenRickScott was one of the first... https://t.co/JtEGLgtO0h,44,None,28510,280,0.25,0.3333333333333333
#Tokyo2020,2249745696,2021-04-21 08:08:30," Olympic Football Draw 

 Tune in NOW
 Draw assistants and former Olympians @lindsaytarpley  and... https://t.co/zUSGPKLezt",36,None,241717,432,0.0,0.0
Palmer Report,15115280,2021-04-20 19:34:16,Great to see that our friend and Special Olympics athlete @TankSchottle got the COVID vaccine today. Tank is an awe... https://t.co/I9afgWmrPT,38,None,372758,104834,0.5785714285714286,0.6607142857142857
The Office Of Amy Dickinson,23986097,2021-04-20 22:26:05,"Friend to many, Special Olympics athlete @TankSchottle got his first vaccination today! Help him celebrate by givin... https://t.co/WWMXfL0DUT",60,None,32240,1125,0.3898809523809524,0.4682539682539682
Olympics,52422878,2021-04-20 17:35:14,Small errors at the Rio Olympics and 2019 Worlds have fueled Ferhat Arican's desire for a @gymnastics medal at... https://t.co/0ZMBbsE2uq,31,None,5997029,4979,-0.25,0.4
CBC Nova Scotia,18999952,2021-04-21 00:32:57,Canadian women's kayak team training on Lake Banook ahead of Tokyo Olympics https://t.co/tPuvxIXrYG https://t.co/yRIBrRIewa,16,None,155051,1128,0.0,0.0
People,25589776,2021-04-20 18:24:07,Water Polo Olympians on How the Sport Is an 'Empowering Space' for Women: It's 'All About Family'   https://t.co/WFfTcGj3aH,44,None,7662731,1722,0.0,0.0
TIME,14293310,2021-04-20 13:01:33,"Will Japan's low immunization rate pose a problem for the Olympics?
https://t.co/lOxvR1B51D",39,None,18172351,505,0.0,0.3
Beijing 2022,2850900191,2021-04-20 14:00:01,"Happy UN #ChineseLanguageDay! In this amazing sand art video by Yolanda Li, the characters 'Xiang Yue 2022' mean 'See You... https://t.co/lSgO8CL6ht",31,ChineseLanguageDay,99416,1052,0.4291666666666667,0.8624999999999999
RTÉ Sport,8973092,2021-04-20 13:32:33,Mona McSharry set an Irish record and a FINA A Consideration Times (OCT) for the Olympics in the 100m breaststroke... https://t.co/oUjZZzLGEs,15,None,117561,1357,0.0,0.0
